Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C6",0805,4,0.47u,C13967
"C10, C11",0805,2,1u,C28323
"C12, C9",0805,2,4.7n,C1744
C13,0805,1,10u,C15850
"C14, C16",0805,2,100n,C28233
"C17, C18",0805,2,4.7u,C1779
"C3, C5, C7",0805,3,0.1u,C49678
C8,CP_EIA-3216-18_Kemet-A,1,22u,C11366
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D38, D39, D4, D5, D6, D7, D8, D9",D_SOD-123,36,D_45deg,C81598
D37,D_SOD-123,1,1N4148,C81598
D40,0805,1,LED,C2297
F1,1206,1,500mA,C70070
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
Q1,SOT-23,1,DTC123J,C20616358
R1,0805,1,20k,C4328
"R11, R2",0805,2,100k,C149504
"R12, R7, R8",0805,3,5.1k,C27834
R3,0805,1,10k,C17414
"R4, R5",0805,2,2k,C17604
R6,0805,1,1M,C17514
SW1,SW_SPST_SKQG_WithStem,1,Reset_SW,C318884
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,IS31FL3733-QF,C506251
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U4,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,C2847904
U5,SOT-23-6-routable,1,SRV05-4,C558418
