Designator,Mid X,Mid Y,Rotation,Layer
C1,157.35,-106.95,270.0,bottom
C10,131.17,-83.7,0.0,bottom
C11,131.17,-76.28125,0.0,bottom
C12,157.5327,-83.5552,90.0,bottom
C13,162.5327,-83.5552,270.0,bottom
C14,124.0,-101.74,0.0,bottom
C16,124.0,-99.24,0.0,bottom
C17,124.0,-104.24,0.0,bottom
C18,124.0,-96.74,0.0,bottom
C2,161.05,-102.3,180.0,bottom
C3,161.05,-104.8,180.0,bottom
C4,154.4,-92.65,90.0,bottom
C5,156.9,-92.65,90.0,bottom
C6,161.9,-92.65,90.0,bottom
C7,161.05,-97.3,180.0,bottom
C8,159.4,-92.65,90.0,bottom
C9,135.1,-76.28125,0.0,bottom
D1,31.0054,-79.3086,90.0,bottom
D10,107.2054,-88.6431,90.0,bottom
D11,31.0054,-117.4086,90.0,bottom
D12,50.0554,-105.5976,90.0,bottom
D13,69.1054,-99.6921,90.0,bottom
D14,88.1554,-105.0261,90.0,bottom
D15,107.2054,-107.6931,90.0,bottom
D16,168.7554,-69.5931,90.0,bottom
D17,168.7554,-88.6431,90.0,bottom
D18,168.7554,-107.6931,90.0,bottom
D19,187.8054,-66.9261,90.0,bottom
D2,50.0554,-67.4976,90.0,bottom
D20,187.8054,-85.9761,90.0,bottom
D21,187.8054,-105.0261,90.0,bottom
D22,206.8554,-61.5921,90.0,bottom
D23,206.8554,-80.6421,90.0,bottom
D24,206.8554,-99.6921,90.0,bottom
D25,225.9054,-67.4976,90.0,bottom
D26,225.9054,-86.5476,90.0,bottom
D27,225.9054,-105.5976,90.0,bottom
D28,244.9554,-79.3086,90.0,bottom
D29,244.9554,-98.358599,90.0,bottom
D3,69.1054,-61.5921,90.0,bottom
D30,244.9554,-117.4086,90.0,bottom
D31,69.1054,-118.7421,90.0,bottom
D32,88.1554,-124.0761,90.0,bottom
D33,107.2054,-126.7431,90.0,bottom
D34,168.7554,-126.7431,90.0,bottom
D37,156.65,-79.6,0.0,bottom
D38,187.8054,-124.0761,90.0,bottom
D39,206.8554,-118.7421,90.0,bottom
D4,88.1554,-66.9261,90.0,bottom
D40,127.92,-75.01,90.0,bottom
D5,107.2054,-69.5931,90.0,bottom
D6,31.0054,-98.358599,90.0,bottom
D7,50.0554,-86.5476,90.0,bottom
D8,69.1054,-80.6421,90.0,bottom
D9,88.1554,-85.9761,90.0,bottom
F1,135.1,-82.3,270.0,bottom
J1,143.4798,-74.8448,180.0,bottom
J3,143.8396,-113.2278,90.0,top
LED1,36.5054,-79.3086,0.0,bottom
LED10,250.4554,-79.3086,0.0,bottom
LED11,36.5054,-98.358599,0.0,bottom
LED12,55.5554,-86.5476,0.0,bottom
LED13,74.6054,-80.6421,0.0,bottom
LED14,93.6554,-85.9761,0.0,bottom
LED15,112.7054,-88.6431,0.0,bottom
LED16,174.2554,-88.6431,0.0,bottom
LED17,193.3054,-85.9761,0.0,bottom
LED18,212.3554,-80.6421,0.0,bottom
LED19,231.4054,-86.5476,0.0,bottom
LED2,55.5554,-67.4976,0.0,bottom
LED20,250.4554,-98.358599,0.0,bottom
LED21,36.5054,-117.4086,0.0,bottom
LED22,55.5554,-105.5976,0.0,bottom
LED23,74.6054,-99.6921,0.0,bottom
LED24,93.6554,-105.0261,0.0,bottom
LED25,112.7054,-107.6931,0.0,bottom
LED26,174.2554,-107.6931,0.0,bottom
LED27,193.3054,-105.0261,0.0,bottom
LED28,212.3554,-99.6921,0.0,bottom
LED29,231.4054,-105.5976,0.0,bottom
LED3,74.6054,-61.5921,0.0,bottom
LED30,250.4554,-117.4086,0.0,bottom
LED31,93.6554,-124.0761,0.0,bottom
LED32,112.7054,-126.7431,0.0,bottom
LED33,174.2554,-126.7431,0.0,bottom
LED34,193.3054,-124.0761,0.0,bottom
LED35,212.3554,-117.9121,0.0,bottom
LED36,74.6054,-117.9121,0.0,bottom
LED4,93.6554,-66.9261,0.0,bottom
LED5,112.7054,-69.5931,0.0,bottom
LED6,174.2554,-69.5931,0.0,bottom
LED7,193.3054,-66.9261,0.0,bottom
LED8,212.3554,-61.5921,0.0,bottom
LED9,231.4054,-67.4976,0.0,bottom
Q1,154.0327,-83.5552,180.0,bottom
R1,161.05,-99.8,0.0,bottom
R11,160.0327,-83.5552,270.0,bottom
R12,131.17,-73.78125,180.0,bottom
R2,147.35,-106.95,90.0,bottom
R3,149.85,-106.95,90.0,bottom
R4,152.35,-106.95,90.0,bottom
R5,154.85,-106.95,90.0,bottom
R6,135.1,-73.78125,0.0,bottom
R7,140.8,-82.45,0.0,bottom
R8,146.7,-82.45,180.0,bottom
SW1,156.4798,-74.8448,0.0,bottom
U1,153.7,-99.95,270.0,bottom
U2,131.17,-79.95,90.0,bottom
U4,133.0,-100.0,90.0,bottom
U5,143.4798,-85.8448,180.0,bottom
